payment_id,project_id,payment_date,payment_amount,cumulative_payment,payment_status,milestone_description,voucher_no
PAY008111,P13062,2024-10-08,702500,1405000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-49918
PAY008112,P13062,2024-11-07,702500,2107500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-61877
PAY008113,P13062,2024-12-07,702500,2810000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-49923
PAY008114,P13064,2026-04-29,1307500,1307500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-18641
PAY008115,P13064,2026-05-29,1307500,2615000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-30854
PAY008116,P13064,2026-06-28,1307500,3922500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-47211
PAY008117,P13064,2026-07-28,1307500,5230000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-82434
PAY008118,P13065,2024-10-07,1000000,1000000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-55815
PAY008119,P13065,2024-11-06,1000000,2000000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-13376
PAY008120,P13065,2024-12-06,1000000,3000000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-24247
PAY008121,P13065,2025-01-05,1000000,4000000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-63150
PAY008122,P13067,2026-01-30,1455000,1455000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-89914
PAY008123,P13067,2026-03-01,1455000,2910000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-92405
PAY008124,P13067,2026-03-31,1455000,4365000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-42373
PAY008125,P13067,2026-04-30,1455000,5820000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-84540
PAY008126,P13068,2027-01-19,577500,577500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-92922
PAY008127,P13068,2027-02-18,577500,1155000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-80760
PAY008128,P13068,2027-03-20,577500,1732500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-95242
PAY008129,P13068,2027-04-19,577500,2310000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-61090
PAY008130,P13069,2026-06-22,1115000,1115000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-23222
PAY008131,P13069,2026-07-22,1115000,2230000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-68907
PAY008132,P13069,2026-08-21,1115000,3345000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-10403
PAY008133,P13069,2026-09-20,1115000,4460000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-92431
PAY008134,P13070,2026-01-08,1437500,1437500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-53313
PAY008135,P13070,2026-02-07,1437500,2875000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-49346
PAY008136,P13070,2026-03-09,1437500,4312500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-50356
PAY008137,P13070,2026-04-08,1437500,5750000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-81064
PAY008138,P13071,2026-07-01,1425000,1425000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-85696
PAY008139,P13071,2026-07-31,1425000,2850000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-14576
PAY008140,P13071,2026-08-30,1425000,4275000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-27600
PAY008141,P13071,2026-09-29,1425000,5700000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-19489
PAY008142,P13072,2027-01-23,952500,952500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-22871
PAY008143,P13072,2027-02-22,952500,1905000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-47098
PAY008144,P13072,2027-03-24,952500,2857500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-24636
PAY008145,P13072,2027-04-23,952500,3810000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-80206
PAY008146,P13073,2024-06-09,1153700,1153700,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-49412
PAY008147,P13073,2024-07-09,1153700,2307400,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-33963
PAY008148,P13073,2024-08-08,1153700,3461100,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-75714
PAY008149,P13073,2024-09-07,1153700,4614800,FLAGGED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-46052
PAY008150,P13075,2024-12-08,5573750,5573750,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-75631
PAY008151,P13075,2025-01-07,5573750,11147500,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-88145
PAY008152,P13075,2025-02-06,5573750,16721250,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-23414
PAY008153,P13075,2025-03-08,5573750,22295000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-59493
PAY008154,P13076,2025-07-12,1372500,1372500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-10792
PAY008155,P13076,2025-08-11,1372500,2745000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-19487
PAY008156,P13076,2025-09-10,1372500,4117500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-70103
PAY008157,P13076,2025-10-10,1372500,5490000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-60696
PAY008158,P13077,2024-08-05,718200,718200,PROCESSED,Milestone Tranche 1/1 - Inspection Phase,VCH-2024-56583
PAY008159,P13078,2024-07-20,1557500,1557500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-58298
PAY008160,P13078,2024-08-19,1557500,3115000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-67989
PAY008161,P13078,2024-09-18,1557500,4672500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-16545
PAY008162,P13078,2024-10-18,1557500,6230000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-65355
PAY008163,P13079,2026-09-18,466200,466200,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-67261
PAY008164,P13079,2026-10-18,466200,932400,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-88919
PAY008165,P13079,2026-11-17,466200,1398600,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-18054
PAY008166,P13079,2026-12-17,466200,1864800,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-59387
PAY008167,P13080,2025-02-10,1103400,1103400,PROCESSED,Milestone Tranche 1/1 - Inspection Phase,VCH-2024-83423
PAY008168,P13083,2025-11-17,1906200,1906200,PROCESSED,Milestone Tranche 1/1 - Inspection Phase,VCH-2025-76069
PAY008169,P13084,2024-06-21,1097500,1097500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-28617
PAY008170,P13084,2024-07-21,1097500,2195000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-31965
PAY008171,P13084,2024-08-20,1097500,3292500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-28067
PAY008172,P13084,2024-09-19,1097500,4390000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-44979
PAY008173,P13085,2025-09-17,953800,953800,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2025-92256
PAY008174,P13085,2025-10-17,953800,1907600,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2025-93682
PAY008175,P13086,2026-12-30,544000,544000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-34676
PAY008176,P13086,2027-01-29,544000,1088000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-46982
PAY008177,P13086,2027-02-28,544000,1632000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-24543
PAY008178,P13086,2027-03-30,544000,2176000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-25413
PAY008179,P13087,2025-09-11,397500,397500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-40462
PAY008180,P13087,2025-10-11,397500,795000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-41449
PAY008181,P13087,2025-11-10,397500,1192500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-36856
PAY008182,P13087,2025-12-10,397500,1590000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-74741
PAY008183,P13088,2026-05-03,1239300,1239300,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2026-11462
PAY008184,P13088,2026-06-02,1239300,2478600,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2026-38860
PAY008185,P13089,2024-05-10,918000,918000,PROCESSED,Milestone Tranche 1/1 - Inspection Phase,VCH-2024-30859
PAY008186,P13090,2025-08-05,413400,413400,PROCESSED,Milestone Tranche 1/1 - Inspection Phase,VCH-2025-53598
PAY008187,P13091,2025-07-31,919300,919300,PROCESSED,Milestone Tranche 1/1 - Inspection Phase,VCH-2025-21522
PAY008188,P13093,2025-11-03,1120000,1120000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-73943
PAY008189,P13093,2025-12-03,1120000,2240000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-49119
PAY008190,P13093,2026-01-02,1120000,3360000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-13995
PAY008191,P13093,2026-02-01,1120000,4480000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-19958
PAY008192,P13094,2026-09-08,570000,570000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-66673
PAY008193,P13094,2026-10-08,570000,1140000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-23864
PAY008194,P13094,2026-11-07,570000,1710000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-99920
PAY008195,P13094,2026-12-07,570000,2280000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-96230
PAY008196,P13096,2024-03-28,1445250,1445250,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2024-48448
PAY008197,P13096,2024-04-27,1445250,2890500,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2024-70268
PAY008198,P13097,2026-03-10,1002875,1002875,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-69026
PAY008199,P13097,2026-04-09,1002875,2005750,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-32026
PAY008200,P13097,2026-05-09,1002875,3008625,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-58614
PAY008201,P13097,2026-06-08,1002875,4011500,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-36846
PAY008202,P13100,2027-03-05,1129650,1129650,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2026-51992
PAY008203,P13100,2027-04-04,1129650,2259300,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2026-92840
PAY008204,P13101,2026-01-10,892500,892500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-54972
PAY008205,P13101,2026-02-09,892500,1785000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-85657
PAY008206,P13101,2026-03-11,892500,2677500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-12153
PAY008207,P13101,2026-04-10,892500,3570000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-79181
PAY008208,P13102,2027-01-24,467500,467500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-40063
PAY008209,P13102,2027-02-23,467500,935000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-21096
PAY008210,P13102,2027-03-25,467500,1402500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-97106
PAY008211,P13102,2027-04-24,467500,1870000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-22814
PAY008212,P13103,2026-01-17,1205000,1205000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-27446
PAY008213,P13103,2026-02-16,1205000,2410000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-31326
PAY008214,P13103,2026-03-18,1205000,3615000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-29350
PAY008215,P13103,2026-04-17,1205000,4820000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-96239
PAY008216,P13105,2026-05-20,495000,495000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-84447
PAY008217,P13105,2026-06-19,495000,990000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-95503
PAY008218,P13105,2026-07-19,495000,1485000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-56814
PAY008219,P13105,2026-08-18,495000,1980000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-26434
PAY008220,P13106,2026-06-01,1517500,1517500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-18719
PAY008221,P13106,2026-07-01,1517500,3035000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-42877
PAY008222,P13106,2026-07-31,1517500,4552500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-94512
PAY008223,P13106,2026-08-30,1517500,6070000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-18346
PAY008224,P13107,2024-04-06,1078000,1078000,PROCESSED,Milestone Tranche 1/1 - Inspection Phase,VCH-2024-32381
PAY008225,P13108,2024-06-12,1305000,1305000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-52430
PAY008226,P13108,2024-07-12,1305000,2610000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-22027
PAY008227,P13108,2024-08-11,1305000,3915000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-29380
PAY008228,P13108,2024-09-10,1305000,5220000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-12542
PAY008229,P13109,2026-04-01,902500,902500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-46341
PAY008230,P13109,2026-05-01,902500,1805000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-87119
PAY008231,P13109,2026-05-31,902500,2707500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-14818
PAY008232,P13109,2026-06-30,902500,3610000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-27494
PAY008233,P13110,2025-11-26,4042500,4042500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-75048
PAY008234,P13110,2025-12-26,4042500,8085000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-69739
PAY008235,P13110,2026-01-25,4042500,12127500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-93295
PAY008236,P13110,2026-02-24,4042500,16170000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-37105
PAY008237,P13111,2026-06-25,910000,910000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-22570
PAY008238,P13111,2026-07-25,910000,1820000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-41775
PAY008239,P13111,2026-08-24,910000,2730000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-99011
PAY008240,P13111,2026-09-23,910000,3640000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-15669
PAY008241,P13112,2024-04-29,1163150,1163150,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2024-26102
PAY008242,P13112,2024-05-29,1163150,2326300,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2024-39519
PAY008243,P13113,2026-12-29,6270000,6270000,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2026-15221
PAY008244,P13113,2027-01-28,6270000,12540000,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2026-87319
PAY008245,P13114,2024-10-01,1737500,1737500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-26951
PAY008246,P13114,2024-10-31,1737500,3475000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-13886
PAY008247,P13114,2024-11-30,1737500,5212500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-91632
PAY008248,P13114,2024-12-30,1737500,6950000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-54910
PAY008249,P13115,2025-01-20,1400000,1400000,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2024-67835
PAY008250,P13115,2025-02-19,1400000,2800000,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2024-24793
PAY008251,P13116,2026-10-07,6084000,6084000,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2026-26329
PAY008252,P13116,2026-11-06,6084000,12168000,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2026-79468
PAY008253,P13117,2025-03-10,1390000,1390000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-60350
PAY008254,P13117,2025-04-09,1390000,2780000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-70827
PAY008255,P13117,2025-05-09,1390000,4170000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-49615
PAY008256,P13117,2025-06-08,1390000,5560000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-31435
PAY008257,P13118,2025-10-28,604350,604350,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-40192
PAY008258,P13118,2025-11-27,604350,1208700,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-53193
PAY008259,P13118,2025-12-27,604350,1813050,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-99781
PAY008260,P13118,2026-01-26,604350,2417400,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-68013
PAY008261,P13119,2027-03-01,1462500,1462500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-80562
PAY008262,P13119,2027-03-31,1462500,2925000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-47243
PAY008263,P13119,2027-04-30,1462500,4387500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-16678
PAY008264,P13119,2027-05-30,1462500,5850000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-46924
PAY008265,P13120,2027-01-14,1787500,1787500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-73222
PAY008266,P13120,2027-02-13,1787500,3575000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-96084
PAY008267,P13120,2027-03-15,1787500,5362500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-60867
PAY008268,P13120,2027-04-14,1787500,7150000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-15626
PAY008269,P13121,2025-03-03,817500,817500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-10675
PAY008270,P13121,2025-04-02,817500,1635000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-12217
PAY008271,P13121,2025-05-02,817500,2452500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-44847
PAY008272,P13121,2025-06-01,817500,3270000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-56621
PAY008273,P13122,2026-03-12,7068000,7068000,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2026-51119
PAY008274,P13122,2026-04-11,7068000,14136000,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2026-72407
PAY008275,P13123,2027-01-14,492500,492500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-49955
PAY008276,P13123,2027-02-13,492500,985000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-46358
PAY008277,P13123,2027-03-15,492500,1477500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-72183
PAY008278,P13123,2027-04-14,492500,1970000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-55484
PAY008279,P13125,2026-07-05,669300,669300,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-30248
PAY008280,P13125,2026-08-04,669300,1338600,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-83503
PAY008281,P13125,2026-09-03,669300,2007900,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-48402
PAY008282,P13125,2026-10-03,669300,2677200,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-89666
PAY008283,P13126,2024-05-25,980025,980025,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-39758
PAY008284,P13126,2024-06-24,980025,1960050,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-59124
PAY008285,P13126,2024-07-24,980025,2940075,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-93467
PAY008286,P13126,2024-08-23,980025,3920100,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-17509
PAY008287,P13127,2024-06-03,867500,867500,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2024-50711
PAY008288,P13127,2024-07-03,867500,1735000,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2024-55934
PAY008289,P13128,2025-09-10,476000,476000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-27747
PAY008290,P13128,2025-10-10,476000,952000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-36650
PAY008291,P13128,2025-11-09,476000,1428000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-44974
PAY008292,P13128,2025-12-09,476000,1904000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-70776
PAY008293,P13129,2026-03-23,1790650,1790650,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2026-65830
PAY008294,P13129,2026-04-22,1790650,3581300,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2026-96145
PAY008295,P13130,2025-09-14,925350,925350,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-86477
PAY008296,P13130,2025-10-14,925350,1850700,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-73806
PAY008297,P13130,2025-11-13,925350,2776050,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-31667
PAY008298,P13130,2025-12-13,925350,3701400,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-51450
PAY008299,P13131,2025-10-19,1137400,1137400,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-22800
PAY008300,P13131,2025-11-18,1137400,2274800,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-20430
PAY008301,P13131,2025-12-18,1137400,3412200,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-27204
PAY008302,P13131,2026-01-17,1137400,4549600,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-27843
PAY008303,P13132,2024-03-16,1338525,1338525,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-27990
PAY008304,P13132,2024-04-15,1338525,2677050,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-47310
PAY008305,P13132,2024-05-15,1338525,4015575,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-11051
PAY008306,P13132,2024-06-14,1338525,5354100,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-87269
PAY008307,P13133,2025-11-14,1105000,1105000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-86067
PAY008308,P13133,2025-12-14,1105000,2210000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-46568
PAY008309,P13133,2026-01-13,1105000,3315000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-40656
PAY008310,P13133,2026-02-12,1105000,4420000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-46388
PAY008311,P13134,2026-06-29,727500,727500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-13937
PAY008312,P13134,2026-07-29,727500,1455000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-18118
PAY008313,P13134,2026-08-28,727500,2182500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-25053
PAY008314,P13134,2026-09-27,727500,2910000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-92799
PAY008315,P13135,2026-02-25,555550,555550,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2025-46742
PAY008316,P13135,2026-03-27,555550,1111100,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2025-39001
PAY008317,P13136,2025-12-02,724275,724275,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-28092
PAY008318,P13136,2026-01-01,724275,1448550,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-98222
PAY008319,P13136,2026-01-31,724275,2172825,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-57496
PAY008320,P13136,2026-03-02,724275,2897100,FLAGGED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-70635
PAY008321,P13137,2025-03-20,1242500,1242500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-51517
PAY008322,P13137,2025-04-19,1242500,2485000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-81994
PAY008323,P13137,2025-05-19,1242500,3727500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-50782
PAY008324,P13137,2025-06-18,1242500,4970000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-82601
PAY008325,P13140,2025-11-27,672500,672500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-15890
PAY008326,P13140,2025-12-27,672500,1345000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-95927
PAY008327,P13140,2026-01-26,672500,2017500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-43997
PAY008328,P13140,2026-02-25,672500,2690000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-71488
PAY008329,P13141,2027-03-02,910000,910000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-10704
PAY008330,P13141,2027-04-01,910000,1820000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-97755
