"Sr. No.","State","Hon'ble Members of Parliaments","Constituency","Allocated AMOUNT ( ₹ )"
"343","RAJASTHAN","MANNA LAL RAWAT","UDAIPUR","50,000,000"
"344","RAJASTHAN","MURLIDHAR MEENA","DAUSA","50,000,000"
"345","RAJASTHAN","OM BIRLA","KOTA","50,000,000"
"346","RAJASTHAN","P P CHAUDHARY","PALI","50,000,000"
"347","RAJASTHAN","RAHUL KASWAN","CHURU","50,000,000"
"348","RAJASTHAN","RAJKUMAR ROAT","BANSWARA","50,000,000"
"349","RAJASTHAN","SANJANA JATAV","BHARATPUR","50,000,000"
"350","RAJASTHAN","SUBHASH CHANDRA BAHERIA","BHILWARA","50,000,000"
"351","RAJASTHAN","UMMEDA RAM BENIWAL","BARMER","50,000,000"
"352","RAJASTHAN","ARJUN RAM MEGHWAL","BIKANER","50,000,000"
"353","RAJASTHAN","KULDEEP INDORA","GANGANAGAR","50,000,000"
"354","RAJASTHAN","AMRA RAM","SIKAR","50,000,000"
"355","RAJASTHAN","LALIT YADAV","ALWAR","50,000,000"
"356","RAJASTHAN","DUSHYANT SINGH","JHALAWAR-BARAN","50,000,000"
"357","SIKKIM","INDRA HANG SUBBA","SIKKIM","50,000,000"
"358","TAMIL NADU","A RAJA","NILGIRIS","50,000,000"
"359","TAMIL NADU","C ROBERT BRUCE","TIRUNELVELI","50,000,000"
"360","TAMIL NADU","DAYANIDHI MARAN","CHENNAI CENTRAL","50,000,000"
"361","TAMIL NADU","DURAIMURUGAN KATHIR ANAND","VELLORE","50,000,000"
"362","TAMIL NADU","DURAI VAIKO","TIRUCHIRAPPALLI","50,000,000"
"363","TAMIL NADU","GANAPATHI RAJKUMAR","COIMBATORE","50,000,000"
"364","TAMIL NADU","JOTHIMANI S","KARUR","50,000,000"
"365","TAMIL NADU","K SUDHAKARAN","SALEM","50,000,000"
"366","TAMIL NADU","KANIMOZHI KARUNANIDHI","THOOTHUKKUDI","50,000,000"
"367","TAMIL NADU","KARTI P CHIDAMBARAM","SIVAGANGA","50,000,000"
"368","TAMIL NADU","MANICKAM TAGORE","VIRUDHUNAGAR","50,000,000"
"369","TAMIL NADU","NATARAJAN P R","COIMBATORE","50,000,000"
"370","TAMIL NADU","NAVASKANI K","RAMANATHAPURAM","50,000,000"
"371","TAMIL NADU","P VELUSAMY","DINDIGUL","50,000,000"
"372","TAMIL NADU","R GIRIRAJAN","CHENNAI NORTH","50,000,000"
"373","TAMIL NADU","R SACHITHANANDHAM","DINDIGUL","50,000,000"
"374","TAMIL NADU","S JAGATHRAKSHAKAN","ARAKKONAM","50,000,000"
"375","TAMIL NADU","S JOTHIMANI","KARUR","50,000,000"
"376","TAMIL NADU","S SELVAGANAPATHI","SALEM","50,000,000"
"377","TAMIL NADU","S VENKATESAN","MADURAI","50,000,000"
"378","TAMIL NADU","SASIKANTH SENTHIL","TIRUVALLUR","50,000,000"
"379","TAMIL NADU","T R BAALU","SRIPERUMBUDUR","50,000,000"
"380","TAMIL NADU","TAMILACHI THANGAPANDIAN","CHENNAI SOUTH","50,000,000"
"381","TAMIL NADU","THIRUMAVALAVAN THOL","CHIDAMBARAM","50,000,000"
"382","TAMIL NADU","VIJAYAKUMAR ALIAS VIJAY VASANTH","KANNIYAKUMARI","50,000,000"
"383","TAMIL NADU","GOPINATH K","KRISHNAGIRI","50,000,000"
"384","TAMIL NADU","A MANI","DHARMAPURI","50,000,000"
"385","TAMIL NADU","K E PRAKASH","ERODE","50,000,000"
"386","TAMIL NADU","K SUBBARAYAN","TIRUPPUR","50,000,000"
"387","TAMIL NADU","C N ANNADURAI","TIRUVANNAMALAI","50,000,000"
"388","TAMIL NADU","D M KATHIR ANAND","VELLORE","50,000,000"
"389","TAMIL NADU","MALAIYARASAN D","KALLAKURICHI","50,000,000"
"390","TAMIL NADU","R DHARANIDHARAN","ARANI","50,000,000"
"391","TAMIL NADU","SU THIRUNAVUKKARASAR","TIRUCHIRAPPALLI","50,000,000"
"392","TAMIL NADU","M K VISHNUPRASAD","CUDDALORE","50,000,000"
"393","TAMIL NADU","MURASOLI S","THANJAVUR","50,000,000"
"394","TAMIL NADU","R SUDHA","MAYILADUTHURAI","50,000,000"
"395","TAMIL NADU","V SELVARAJ","NAGAPATTINAM","50,000,000"
"396","TAMIL NADU","RAVIKUMAR D","VILUPPURAM","50,000,000"
"397","TELANGANA","ASADUDDIN OWAISI","HYDERABAD","50,000,000"
"398","TELANGANA","BANDI SANJAY KUMAR","KARIMNAGAR","50,000,000"
"399","TELANGANA","CHAMALA KIRAN KUMAR REDDY","BHONGIR","50,000,000"
"400","TELANGANA","D K ARUNA","MAHBUBNAGAR","50,000,000"
"401","TELANGANA","DHANASARI ANASUYA SEETHAKKA","MAHABUBABAD","50,000,000"
"402","TELANGANA","ETELA RAJENDER","MALKAJGIRI","50,000,000"
"403","TELANGANA","G KISHAN REDDY","SECUNDERABAD","50,000,000"
"404","TELANGANA","KADIYAM KAVYA","WARANGAL","50,000,000"
"405","TELANGANA","KONDA VISHWESHWAR REDDY","CHEVALLA","50,000,000"
"406","TELANGANA","KUNDURU RAGHUVEER","NALGONDA","50,000,000"
"407","TELANGANA","M MALLIKARJUN GOUD","MEDAK","50,000,000"
"408","TELANGANA","PORIKA BALRAM NAIK","MAHABUBABAD","50,000,000"
"409","TELANGANA","RAGHURAM REDDY","KHAMMAM","50,000,000"
"410","TELANGANA","RAMASAHAYAM RAGHURAM REDDY","KHAMMAM","50,000,000"
"411","TELANGANA","G NAGESH","ADILABAD","50,000,000"
"412","TELANGANA","G VAMSHI KRISHNA","PEDDAPALLE","50,000,000"
"413","TELANGANA","ARVIND DHARMAPURI","NIZAMABAD","50,000,000"
"414","TRIPURA","BIROB ROY DEBBARMA","TRIPURA EAST","50,000,000"
"415","TRIPURA","BIPLAB KUMAR DEB","TRIPURA WEST","50,000,000"
"416","UTTAR PRADESH","AFZAL ANSARI","GHAZIPUR","50,000,000"
"417","UTTAR PRADESH","AJAY RAI","VARANASI","50,000,000"
"418","UTTAR PRADESH","AKHILESH YADAV","KANNAUJ","50,000,000"
"419","UTTAR PRADESH","ANAND BHADAURIYA","DHAURAHRA","50,000,000"
"420","UTTAR PRADESH","ANUPRIYA PATEL","MIRZAPUR","50,000,000"
"421","UTTAR PRADESH","ANURAG PANDEY","AMBEDKAR NAGAR","50,000,000"
"422","UTTAR PRADESH","ARUN GOVIL","MEERUT","50,000,000"
"423","UTTAR PRADESH","AWADHESH PRASAD","FAIZABAD","50,000,000"
"424","UTTAR PRADESH","BABU SINGH KUSHWAHA","JAUNPUR","50,000,000"
"425","UTTAR PRADESH","CHANDRASHEKHAR AZAD","NAGINA","50,000,000"
"426","UTTAR PRADESH","CHHOTELAL KHARWAR","ROBERTSGANJ","50,000,000"
"427","UTTAR PRADESH","DEVENDRA SINGH BHOLE","AKBARPUR","50,000,000"
"428","UTTAR PRADESH","DHARMENDRA YADAV","AZAMGARH","50,000,000"
"429","UTTAR PRADESH","DIMPLE YADAV","MAINPURI","50,000,000"
"430","UTTAR PRADESH","DINESH PRATAP SINGH","RAE BARELI","50,000,000"
"431","UTTAR PRADESH","HEMA MALINI","MATHURA","50,000,000"
"432","UTTAR PRADESH","IMRAN MASOOD","SAHARANPUR","50,000,000"
"433","UTTAR PRADESH","IQRA HASAN","KAIRANA","50,000,000"
"434","UTTAR PRADESH","JAGDAMBIKA PAL","DOMARIYAGANJ","50,000,000"
"435","UTTAR PRADESH","JAIVEER SINGH","MAINPURI","50,000,000"
"436","UTTAR PRADESH","JITIN PRASADA","PILIBHIT","50,000,000"
"437","UTTAR PRADESH","KAMLESH PASWAN","BANSRGAON","50,000,000"
"438","UTTAR PRADESH","KANWAR SINGH TANWAR","AMROHA","50,000,000"
"439","UTTAR PRADESH","KIRANVEER SINGH","ETAWAH","50,000,000"
"440","UTTAR PRADESH","KISHORI LAL SHARMA","AMETHI","50,000,000"
"441","UTTAR PRADESH","LALJI VERMA","AMBEDKAR NAGAR","50,000,000"
"442","UTTAR PRADESH","MAHESH SHARMA","GAUTAM BUDDHA NAGAR","50,000,000"
"443","UTTAR PRADESH","MANEKA GANDHI","SULTANPUR","50,000,000"
"444","UTTAR PRADESH","MANOJ KUMAR TIWARI","NORTH EAST DELHI","50,000,000"
"445","UTTAR PRADESH","MOHAMMAD AZAM KHAN","RAMPUR","50,000,000"
"446","UTTAR PRADESH","MOHIBULLAH NADVI","RAMPUR","50,000,000"
"447","UTTAR PRADESH","MUKESH RAJPOOT","FARURUKHABAD","50,000,000"
"448","UTTAR PRADESH","NARENDRA MODI","VARANASI","50,000,000"
"449","UTTAR PRADESH","NEERAJ SHEKHAR","BALLIA","50,000,000"
"450","UTTAR PRADESH","PRAVEEN PATEL","PHULPUR","50,000,000"
"451","UTTAR PRADESH","PUSHPENDRA SAROJ","KAUSHAMBI","50,000,000"
"452","UTTAR PRADESH","RADHEY SHYAM BHARGAVA","MISRIKH","50,000,000"
"453","UTTAR PRADESH","RAHUL GANDHI","RAE BARELI","50,000,000"
"454","UTTAR PRADESH","RAJ BABBAR","FATEHPUR SIKRI","50,000,000"
"455","UTTAR PRADESH","RAJNATH SINGH","LUCKNOW","50,000,000"
"456","UTTAR PRADESH","RAJVEER SINGH","ETAH","50,000,000"
"457","UTTAR PRADESH","RAM BHAWAN NISHAD","SULTANPUR","50,000,000"
"458","UTTAR PRADESH","RAM SHANKAR KATHERIA","ETAWAH","50,000,000"
"459","UTTAR PRADESH","RAM PRASAD CHAUDHARY","BASTI","50,000,000"
"460","UTTAR PRADESH","RAMESH CHAND BIND","BHADOHI","50,000,000"
"461","UTTAR PRADESH","RAVI KISHAN","GORAKHPUR","50,000,000"
"462","UTTAR PRADESH","RUCHI VIRA","MORADABAD","50,000,000"
"463","UTTAR PRADESH","SACHINDRA PRATAP SINGH","FATEHPUR","50,000,000"
"464","UTTAR PRADESH","SANJEEV BALYAN","MUZAFFARNAGAR","50,000,000"
"465","UTTAR PRADESH","SATISH KUMAR GAUTAM","ALIGARH","50,000,000"
"466","UTTAR PRADESH","SHIVPAL SINGH YADAV","JASWANTNAGAR","50,000,000"
"467","UTTAR PRADESH","SMITA SINGH","ALLAHABAD","50,000,000"
"468","UTTAR PRADESH","SONELAL PATEL","MIRZAPUR","50,000,000"
"469","UTTAR PRADESH","SUBHASH PATEL","BANDA","50,000,000"
"470","UTTAR PRADESH","TANUJ PUNIA","BARABANKI","50,000,000"
"471","UTTAR PRADESH","UTKARSH VERMA","KHERI","50,000,000"
"472","UTTAR PRADESH","VINOD KUMAR BIND","BHADOHI","50,000,000"
"473","UTTAR PRADESH","VIRENDRA SINGH","CHANDAULI","50,000,000"
"474","UTTAR PRADESH","VISHAL VERMA","HARDOI","50,000,000"
"475","UTTAR PRADESH","ZIA UR REHMAN BARQ","SAMBHAL","50,000,000"
"476","UTTAR PRADESH","HARENDRA SINGH MALIK","MUZAFFARNAGAR","50,000,000"
"477","UTTAR PRADESH","ATUL PRADHAN","MEERUT","50,000,000"
"478","UTTAR PRADESH","CHANDAN CHAUHAN","BIJNOR","50,000,000"
"479","UTTAR PRADESH","RAJESH VERMA","SITAPUR","50,000,000"
"480","UTTAR PRADESH","JAI PRAKASH RAWAT","HARDOI","50,000,000"
"481","UTTAR PRADESH","ASHOK KUMAR RAWAT","MISRIKH","50,000,000"
"482","UTTAR PRADESH","SAKSHI MAHARAJ","UNNAO","50,000,000"
"483","UTTAR PRADESH","S P SINGH BAGHEL","AGRA","50,000,000"
"484","UTTAR PRADESH","ANURAG SHARMA","JHANSI","50,000,000"
"485","UTTAR PRADESH","KRISHNA PATEL","BANDA","50,000,000"
"486","UTTAR PRADESH","KIRAN PAL SINGH","BULANDSHAHR","50,000,000"
"487","UTTAR PRADESH","BHOLA SINGH","BULANDSHAHR","50,000,000"
"488","UTTAR PRADESH","RAMESH AWASTHI","KANPUR","50,000,000"
"489","UTTAR PRADESH","NARESH UTTAM PATEL","FATEHPUR","50,000,000"
"490","UTTAR PRADESH","UJJWAL RAMAN SINGH","ALLAHABAD","50,000,000"
"491","UTTAR PRADESH","KESHAV PRASAD MAURYA","PHULPUR","50,000,000"
"492","UTTAR PRADESH","R K SINGH PATEL","BANDA","50,000,000"
"493","UTTAR PRADESH","SHRAWAN KUMAR NISHAD","SANT KABIR NAGAR","50,000,000"
"494","UTTAR PRADESH","LAXMIKANT BAJPAI","MEERUT","50,000,000"
"495","UTTAR PRADESH","VIJAY KUMAR DUBEY","KUSHI NAGAR","50,000,000"
"496","UTTAR PRADESH","SHASHANK MANI TRIPATHI","DEORIA","50,000,000"
"497","UTTAR PRADESH","SANATAN PANDEY","BALLIA","50,000,000"
"498","UTTAR PRADESH","SADAL PRASAD","BANSGAON","50,000,000"
"499","UTTAR PRADESH","DINESH LAL YADAV NIRAHUA","AZAMGARH","50,000,000"
"500","UTTAR PRADESH","DAROGA PRASAD SAROJ","LALGANJ","50,000,000"
"501","UTTAR PRADESH","PRIYA SAROJ","MACHHLISHAHR","50,000,000"
"502","UTTAR PRADESH","BRIJ BHUSHAN SHARAN SINGH","KAISERGANJ","50,000,000"
"503","UTTAR PRADESH","KARAN BHUSHAN SINGH","KAISERGANJ","50,000,000"
"504","UTTAR PRADESH","ANAND SEN YADAV","FAIZABAD","50,000,000"
"505","UTTAR PRADESH","PRASHANT KISHORE","GONDA","50,000,000"
"506","UTTAR PRADESH","KIRTI VARDHAN SINGH","GONDA","50,000,000"
"507","UTTAR PRADESH","RAM SHIROMANI VERMA","SHRAWASTI","50,000,000"
"508","UTTAR PRADESH","ANAND MOHAN","BAHRAICH","50,000,000"
"509","UTTARAKHAND","AJAY BHATT","NAINITAL-UDHAMSINGH NAGAR","50,000,000"
"510","UTTARAKHAND","AJAY TAMTA","ALMORA","50,000,000"
"511","UTTARAKHAND","ANIL BALUNI","GARHWAL","50,000,000"
"512","UTTARAKHAND","MALARAJYA LAXMI SHAH","TEHRI GARHWAL","50,000,000"
"513","UTTARAKHAND","TRIVENDRA SINGH RAWAT","HARIDWAR","50,000,000"
"514","WEST BENGAL","ABHISHEK BANERJEE","DIAMOND HARBOUR","50,000,000"
"515","WEST BENGAL","ADHIR RANJAN CHOWDHURY","BAHARAMPUR","50,000,000"
"516","WEST BENGAL","ANUPAM HAZRA","BOLPUR","50,000,000"
"517","WEST BENGAL","ARUN BHARATI","JAMUI","50,000,000"
"518","WEST BENGAL","ASIT KUMAR MAL","BOLPUR","50,000,000"
"519","WEST BENGAL","DEEPAK ADHIKARI (DEV)","GHATAL","50,000,000"
"520","WEST BENGAL","DILIP GHOSH","BARDHAMAN-DURGAPUR","50,000,000"
"521","WEST BENGAL","JAGANNATH SARKAR","RANAGHAT","50,000,000"
"522","WEST BENGAL","JYOTIRMAY SINGH MAHATO","PURULIA","50,000,000"
"523","WEST BENGAL","KALYAN BANERJEE","SREERAMPUR","50,000,000"
"524","WEST BENGAL","KHALILUR RAHMAN","JANGIPUR","50,000,000"
"525","WEST BENGAL","KHAGEN MURMU","MALDAHA UTTAR","50,000,000"
"526","WEST BENGAL","MAHUA MOITRA","KRISHNANAGAR","50,000,000"
"527","WEST BENGAL","MALATY RAJBHAR","BALURGHAT","50,000,000"
"528","WEST BENGAL","NISITH PRAMANIK","COOCH BEHAR","50,000,000"
"529","WEST BENGAL","PRATIMA BHOUMIK","TRIPURA WEST","50,000,000"
"530","WEST BENGAL","PRASUN BANERJEE","HOWRAH","50,000,000"
"531","WEST BENGAL","RAJU BISTA","DARJEELING","50,000,000"
"532","WEST BENGAL","SACHIN PILOT","TONK-SAWAI MADHOPUR","50,000,000"
"533","WEST BENGAL","SATABDI ROY","BIRBHUM","50,000,000"
"534","WEST BENGAL","SAUMITRA KHAN","BISHNUPUR","50,000,000"
"535","WEST BENGAL","SAYANI GHOSH","JADAVPUR","50,000,000"
"536","WEST BENGAL","SHANTANU THAKUR","BANGAON","50,000,000"
"537","WEST BENGAL","SHATRU GHAN PRASAD SINHA","ASANSOL","50,000,000"
"538","WEST BENGAL","SUKANTA MAJUMDAR","BALURGHAT","50,000,000"
"539","WEST BENGAL","SUDIP BANDYOPADHYAY","KOLKATA UTTAR","50,000,000"
"540","WEST BENGAL","SUGATA BOSE","JADAVPUR","50,000,000"
"541","WEST BENGAL","YUSUF PATHAN","BAHARAMPUR","50,000,000"
"542","WEST BENGAL","PARTHA BHOWMICK","BARRACKPORE","50,000,000"
"543","WEST BENGAL","KIRTIAZAD","BARDHAMAN-DURGAPUR","50,000,000"
"544","Grand Total","--","--","27,150,000,000"
